cpu,case,family,dtype,atol,rtol,max_diff,max_tolerance_fraction,status
cortex-m55,batch_norm_9_channel_f32,NNSupportFunctions,FP32,5e-05,2e-05,7.74860382e-07,0.013706,PASS
cortex-m55,batch_norm_default_f16,NNSupportFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,batch_norm_default_f32,NNSupportFunctions,FP32,5e-05,2e-05,1.07288361e-06,0.018759,PASS
cortex-m55,batch_norm_single_channel_f16,NNSupportFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,batch_norm_single_channel_f32,NNSupportFunctions,FP32,5e-05,2e-05,7.4505806e-09,0.000145,PASS
cortex-m55,concatenation_axis_w_f16,ConcatenationFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,concatenation_axis_w_f32,ConcatenationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,concatenation_axis_x_f16,ConcatenationFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,concatenation_axis_x_f32,ConcatenationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,concatenation_axis_y_f16,ConcatenationFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,concatenation_axis_y_f32,ConcatenationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,concatenation_axis_z_f16,ConcatenationFunctions,FP16,0.001,0.001,0.0,0.0,PASS
cortex-m55,concatenation_axis_z_f32,ConcatenationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,convolve_float_1d_k3_packed_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.382629,PASS
cortex-m55,convolve_float_1d_k3_packed_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.70618296e-06,0.032825,PASS
cortex-m55,convolve_float_1d_k3_packed_no_bias_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.589796,PASS
cortex-m55,convolve_float_1d_k3_packed_no_bias_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.78813934e-06,0.033817,PASS
cortex-m55,convolve_float_1d_k5_packed_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.586338,PASS
cortex-m55,convolve_float_1d_k5_packed_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.90734863e-06,0.030966,PASS
cortex-m55,convolve_float_1x1_patch_gemm_packed_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.910229,PASS
cortex-m55,convolve_float_1x1_patch_gemm_packed_f32,ConvolutionFunctions,FP32,5e-05,2e-05,2.14576721e-06,0.035816,PASS
cortex-m55,convolve_float_1x1_patch_gemm_packed_no_bias_f16,ConvolutionFunctions,FP16,0.001,0.001,0.001953125,0.720758,PASS
cortex-m55,convolve_float_1x1_patch_gemm_packed_no_bias_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.96695328e-06,0.036967,PASS
cortex-m55,convolve_float_1x1_same_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.582751,PASS
cortex-m55,convolve_float_1x1_same_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.57952309e-06,0.027185,PASS
cortex-m55,convolve_float_1x1_standard_large_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.910229,PASS
cortex-m55,convolve_float_1x1_standard_large_f32,ConvolutionFunctions,FP32,5e-05,2e-05,2.14576721e-06,0.035816,PASS
cortex-m55,convolve_float_1x1_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.582751,PASS
cortex-m55,convolve_float_1x1_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.57952309e-06,0.027185,PASS
cortex-m55,convolve_float_1xn_direct_k3_valid_oc4_f16,ConvolutionFunctions,FP16,0.001,0.001,0.000732421875,0.520291,PASS
cortex-m55,convolve_float_1xn_direct_k3_valid_oc4_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.44541264e-06,0.027125,PASS
cortex-m55,convolve_float_1xn_direct_k3_valid_tail_f16,ConvolutionFunctions,FP16,0.001,0.001,0.000732421875,0.518135,PASS
cortex-m55,convolve_float_1xn_direct_k3_valid_tail_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.29640102e-06,0.024206,PASS
cortex-m55,convolve_float_1xn_direct_k4_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.60006,PASS
cortex-m55,convolve_float_1xn_direct_k4_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.34110451e-06,0.024524,PASS
cortex-m55,convolve_float_1xn_direct_k4_valid_no_bias_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.357526,PASS
cortex-m55,convolve_float_1xn_direct_k4_valid_no_bias_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.37090683e-06,0.025992,PASS
cortex-m55,convolve_float_1xn_direct_k5_valid_oc4_f16,ConvolutionFunctions,FP16,0.001,0.001,0.001953125,0.967586,PASS
cortex-m55,convolve_float_1xn_direct_k5_valid_oc4_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.78813934e-06,0.033329,PASS
cortex-m55,convolve_float_1xn_direct_k5_valid_tail_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.380517,PASS
cortex-m55,convolve_float_1xn_direct_k5_valid_tail_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.16974115e-06,0.022612,PASS
cortex-m55,convolve_float_1xn_generic_k4_same_stride2_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.253743,PASS
cortex-m55,convolve_float_1xn_generic_k4_same_stride2_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.22189522e-06,0.02298,PASS
cortex-m55,convolve_float_1xn_generic_k4_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.60006,PASS
cortex-m55,convolve_float_1xn_generic_k4_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.34110451e-06,0.024524,PASS
cortex-m55,convolve_float_1xn_k5_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.33036,PASS
cortex-m55,convolve_float_1xn_k5_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.51991844e-06,0.026889,PASS
cortex-m55,convolve_float_1xn_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.387747,PASS
cortex-m55,convolve_float_1xn_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.67638063e-06,0.032831,PASS
cortex-m55,convolve_float_default_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.620347,PASS
cortex-m55,convolve_float_default_f32,ConvolutionFunctions,FP32,5e-05,2e-05,2.05636024e-06,0.038272,PASS
cortex-m55,convolve_float_dilated_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.563031,PASS
cortex-m55,convolve_float_dilated_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.7285347e-06,0.030832,PASS
cortex-m55,convolve_float_patch_gemm_f16,ConvolutionFunctions,FP16,0.002,0.002,0.001953125,0.577868,PASS
cortex-m55,convolve_float_patch_gemm_f32,ConvolutionFunctions,FP32,5e-05,2e-05,3.51667404e-06,0.062249,PASS
cortex-m55,convolve_float_stride2_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00146484375,0.738916,PASS
cortex-m55,convolve_float_stride2_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.9967556e-06,0.037264,PASS
cortex-m55,convolve_float_wrapper_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.620347,PASS
cortex-m55,convolve_float_wrapper_f32,ConvolutionFunctions,FP32,5e-05,2e-05,2.05636024e-06,0.038272,PASS
cortex-m55,depthwise_conv_float_1d_chmult1_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.419111,PASS
cortex-m55,depthwise_conv_float_1d_chmult1_f32,ConvolutionFunctions,FP32,5e-05,2e-05,9.68575478e-07,0.019159,PASS
cortex-m55,depthwise_conv_float_1d_k3_no_bias_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.307598,PASS
cortex-m55,depthwise_conv_float_1d_k3_no_bias_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.07288361e-06,0.017859,PASS
cortex-m55,depthwise_conv_float_2x5_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.480769,PASS
cortex-m55,depthwise_conv_float_3x3_valid_stride1_f16,ConvolutionFunctions,FP16,0.001,0.001,0.001953125,0.894855,PASS
cortex-m55,depthwise_conv_float_3x3_valid_stride1_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.81794167e-06,0.031868,PASS
cortex-m55,depthwise_conv_float_default_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.591891,PASS
cortex-m55,depthwise_conv_float_default_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.90734863e-06,0.025966,PASS
cortex-m55,depthwise_conv_float_depth_multiplier2_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.578704,PASS
cortex-m55,depthwise_conv_float_depth_multiplier2_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.16229057e-06,0.021938,PASS
cortex-m55,depthwise_conv_float_dilated_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.350508,PASS
cortex-m55,depthwise_conv_float_dilated_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.92224979e-06,0.035863,PASS
cortex-m55,depthwise_conv_float_fast_kc_no_scratch_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.470146,PASS
cortex-m55,depthwise_conv_float_fast_kc_no_scratch_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.54972076e-06,0.02341,PASS
cortex-m55,depthwise_conv_float_fast_nt_t_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.556173,PASS
cortex-m55,depthwise_conv_float_fast_nt_t_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.31130219e-06,0.022733,PASS
cortex-m55,depthwise_conv_float_fast_nt_t_no_bias_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.43592,PASS
cortex-m55,depthwise_conv_float_fast_nt_t_no_bias_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.16229057e-06,0.022574,PASS
cortex-m55,depthwise_conv_float_single_input_channel_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00146484375,0.765501,PASS
cortex-m55,depthwise_conv_float_single_input_channel_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.43051147e-06,0.023276,PASS
cortex-m55,depthwise_conv_float_single_input_channel_out8_f16,ConvolutionFunctions,FP16,0.001,0.001,0.0009765625,0.622665,PASS
cortex-m55,depthwise_conv_float_single_input_channel_out8_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.41561031e-06,0.027291,PASS
cortex-m55,depthwise_conv_float_stride2_valid_f16,ConvolutionFunctions,FP16,0.001,0.001,0.00048828125,0.466037,PASS
cortex-m55,depthwise_conv_float_stride2_valid_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.17346644e-06,0.023154,PASS
cortex-m55,depthwise_conv_float_wrapper_f16,ConvolutionFunctions,FP16,0.001,0.001,0.001953125,0.97561,PASS
cortex-m55,depthwise_conv_float_wrapper_f32,ConvolutionFunctions,FP32,5e-05,2e-05,1.63912773e-06,0.029114,PASS
cortex-m55,dequantize_float_s16_f32_vec33,QuantizationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,dequantize_float_s8_f32_vec17,QuantizationFunctions,FP32,5e-05,2e-05,0.0,0.0,PASS
cortex-m55,fully_connected_float_4d_input_f16,FullyConnectedFunctions,FP16,0.001,0.001,0.0009765625,0.361925,PASS
cortex-m55,fully_connected_float_4d_input_f32,FullyConnectedFunctions,FP32,5e-05,2e-05,1.25169754e-06,0.019517,PASS
cortex-m55,fully_connected_float_default_f16,FullyConnectedFunctions,FP16,0.001,0.001,0.000137329102,0.134212,PASS
cortex-m55,fully_connected_float_default_f32,FullyConnectedFunctions,FP32,5e-05,2e-05,1.1920929e-06,0.018994,PASS
cortex-m55,fully_connected_float_no_bias_f16,FullyConnectedFunctions,FP16,0.001,0.001,0.00048828125,0.390168,PASS
cortex-m55,fully_connected_float_no_bias_f32,FullyConnectedFunctions,FP32,5e-05,2e-05,9.38773155e-07,0.017932,PASS
cortex-m55,fully_connected_float_tail9_f16,FullyConnectedFunctions,FP16,0.001,0.001,0.00048828125,0.281136,PASS
cortex-m55,fully_connected_float_tail9_f32,FullyConnectedFunctions,FP32,5e-05,2e-05,1.43051147e-06,0.02554,PASS
cortex-m55,fully_connected_float_vector8_f16,FullyConnectedFunctions,FP16,0.001,0.001,0.0009765625,0.462535,PASS
cortex-m55,fully_connected_float_vector8_f32,FullyConnectedFunctions,FP32,5e-05,2e-05,1.54972076e-06,0.029987,PASS
cortex-m55,gru_unidirectional_error_missing_temp1_prereset_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
cortex-m55,gru_unidirectional_error_missing_temp1_prereset_f32,LSTMFunctions,FP32,5e-05,2e-05,,,PASS
cortex-m55,gru_unidirectional_error_negative_hidden_size_f16,LSTMFunctions,FP16,0.001,0.001,,,PASS
